id,project_name,job_name,workflow_name,step,labels
7921,javaparser/javaparser,"maven_test (macos-latest, 9)",Build and test (using maven),Test with Maven (incl. slow tests),['macos-latest']
7946,javaparser/javaparser,"maven_test (ubuntu-latest, 8)",Build and test (using maven),Test with Maven (incl. slow tests),['ubuntu-latest']
7980,javaparser/javaparser,"maven_test (macos-latest, 8)",Build and test (using maven),Test with Maven (incl. slow tests),['macos-latest']
8032,nordicsemiconductor/android-ble-library,deployAarsToNexus,Generate README.md and Deploy to Nexus,"Run echo ""***",['ubuntu-latest']
8096,spring-projects/spring-data-couchbase,Analyze (java),CodeQL,Autobuild,['ubuntu-latest']
8102,spring-projects/spring-data-couchbase,Analyze (java),CodeQL,Perform CodeQL Analysis,['ubuntu-latest']
8143,apache/mina,"Test JDK 17, macOS-latest",Java CI,Test with Maven,['macOS-latest']
8147,apache/mina,"Test JDK 8, macOS-latest",Java CI,Test with Maven,['macOS-latest']
8155,apache/mina,"Test JDK 20, macOS-latest",Java CI,Test with Maven,['macOS-latest']
8187,juansebestia/react-native-wifi-reborn,build,CI,Run npm ci,['ubuntu-latest']
8201,mybatis/migrations,"Test JDK 17, macos-latest",Java CI,Test with Maven,['macos-latest']
8268,dragonwell-project/dragonwell11,build_release_riscv_jdk,Dragonwell_11_build_test,Compile release mode riscv jdk,['ubuntu-latest']
8302,dragonwell-project/dragonwell11,macOS aarch64 (build debug),Pre-submit tests,Build,['macos-11']
8358,liferay/liferay-blade-samples,Yarn-Windows-JDK8,SF and Build Test,Build with Yarn,['windows-latest']
8396,lothrazar/cyclic,build,Build,build,['ubuntu-latest']
8443,googlecloudplatform/spring-cloud-gcp,renovate,Renovate Updates,Set up job,['ubuntu-latest']
8464,hpi-swa/trufflesqueak,jar ubuntu-20.04 + JDK21,Test TruffleSqueak,Build GraalVM with TruffleSqueak,['ubuntu-20.04']
8674,mapstruct/mapstruct-idea,IDEA 2022.2,CI,Test,['ubuntu-latest']
8677,mapstruct/mapstruct-idea,IDEA 2021.3,CI,Test,['ubuntu-latest']
8754,open-job/openjob,Analyze (java),CodeQL,Autobuild,['ubuntu-latest']
8809,usethesource/rascal,test-linux,Build and Deploy,Run Tests,['buildjet-4vcpu-ubuntu-2204']
8888,jenkinsci/gitlab-plugin,sync-project-branch,Sync project branch,Run git fetch --unshallow origin || git fetch origin,['ubuntu-latest']
8935,photonvision/photonvision,Photonlib - Build Docker - Aarch64,Build,Build PhotonLib,['ubuntu-22.04']
8982,xtclang/xvm,gradle (ubuntu-latest),Build and verify XTC project on push,Execute Gradle build,['ubuntu-latest']
9016,apache/dubbo,Integration Test on ubuntu-latest (JobId: 2),Build and Test Scheduled On 3.1,Run tests,['ubuntu-latest']
9147,apache/skywalking,"E2E test (Agent Golang, test/e2e-v2/cases/go/e2e.yaml)",CI,Download docker images,['ubuntu-latest']
9194,retrooper/packetevents,build,Gradle Package,Build with Gradle,['ubuntu-latest']
9224,gradle/gradle-profiler,Analyze (java),CodeQL,Autobuild,['ubuntu-latest']
